GO	N	M	n	m	p.val	p.adj_bonferroni	fc	description	genes
GO:0005576	39323	2217	1375	120	2.07E-05	0.001740125	1.547959159	extracellular region	"Zm00001d002175,Zm00001d003508,Zm00001d004664,Zm00001d004768,Zm00001d005383,Zm00001d006330,Zm00001d006525,Zm00001d006526,Zm00001d007830,Zm00001d008548,Zm00001d008581,Zm00001d009328,Zm00001d009858,Zm00001d010448,Zm00001d010925,Zm00001d012292,Zm00001d012322,Zm00001d012633,Zm00001d012957,Zm00001d013080,Zm00001d013097,Zm00001d013108,Zm00001d013333,Zm00001d013610,Zm00001d013830,Zm00001d014244,Zm00001d014467,Zm00001d014606,Zm00001d015129,Zm00001d015292,Zm00001d015884,Zm00001d016130,Zm00001d017247,Zm00001d017365,Zm00001d017494,Zm00001d017978,Zm00001d018106,Zm00001d018322,Zm00001d018965,Zm00001d018966,Zm00001d020552,Zm00001d020615,Zm00001d020789,Zm00001d021677,Zm00001d021881,Zm00001d021901,Zm00001d022078,Zm00001d022104,Zm00001d022290,Zm00001d022457,Zm00001d023384,Zm00001d023400,Zm00001d024752,Zm00001d024753,Zm00001d024960,Zm00001d024996,Zm00001d025865,Zm00001d027290,Zm00001d027533,Zm00001d028229,Zm00001d028243,Zm00001d028651,Zm00001d028785,Zm00001d029681,Zm00001d030304,Zm00001d031878,Zm00001d032401,Zm00001d032560,Zm00001d032618,Zm00001d032947,Zm00001d033262,Zm00001d033455,Zm00001d034129,Zm00001d034427,Zm00001d035646,Zm00001d036370,Zm00001d037025,Zm00001d037556,Zm00001d037797,Zm00001d038151,Zm00001d038873,Zm00001d038874,Zm00001d039384,Zm00001d040026,Zm00001d040027,Zm00001d040028,Zm00001d040029,Zm00001d040059,Zm00001d040245,Zm00001d040649,Zm00001d040705,Zm00001d042022,Zm00001d042097,Zm00001d042767,Zm00001d042975,Zm00001d043039,Zm00001d043121,Zm00001d043238,Zm00001d043713,Zm00001d043864,Zm00001d044691,Zm00001d044732,Zm00001d044744,Zm00001d044947,Zm00001d045514,Zm00001d046035,Zm00001d046134,Zm00001d046184,Zm00001d046784,Zm00001d047620,Zm00001d048006,Zm00001d048903,Zm00001d048950,Zm00001d049028,Zm00001d049242,Zm00001d049539,Zm00001d050082,Zm00001d051814,Zm00001d052190,Zm00001d053554"
GO:0009835	39323	2217	52	13	3.48E-05	0.002925388	4.434258006	fruit ripening	"Zm00001d002592,Zm00001d003283,Zm00001d015129,Zm00001d017462,Zm00001d024843,Zm00001d024850,Zm00001d024852,Zm00001d024853,Zm00001d026060,Zm00001d033862,Zm00001d038874,Zm00001d039487,Zm00001d042556"
GO:0009607	39323	2217	191	26	0.000121631	0.01021702	2.414465092	response to biotic stimulus	"Zm00001d002479,Zm00001d009619,Zm00001d010617,Zm00001d011403,Zm00001d012480,Zm00001d013709,Zm00001d016052,Zm00001d018681,Zm00001d018727,Zm00001d018786,Zm00001d019361,Zm00001d020136,Zm00001d020137,Zm00001d021176,Zm00001d030969,Zm00001d032265,Zm00001d037120,Zm00001d043199,Zm00001d043569,Zm00001d044010,Zm00001d044171,Zm00001d045283,Zm00001d050247,Zm00001d052355,Zm00001d052992,Zm00001d053369"
GO:0030246	39323	2217	332	38	0.000168037	0.014115138	2.03014222	carbohydrate binding	"Zm00001d002536,Zm00001d003432,Zm00001d003434,Zm00001d004079,Zm00001d006471,Zm00001d006627,Zm00001d007764,Zm00001d007843,Zm00001d008273,Zm00001d008966,Zm00001d011919,Zm00001d017821,Zm00001d018179,Zm00001d020703,Zm00001d021727,Zm00001d021896,Zm00001d021897,Zm00001d023253,Zm00001d024621,Zm00001d028454,Zm00001d030759,Zm00001d031377,Zm00001d032868,Zm00001d032869,Zm00001d032870,Zm00001d034198,Zm00001d034217,Zm00001d034508,Zm00001d034672,Zm00001d034781,Zm00001d037783,Zm00001d037810,Zm00001d039100,Zm00001d043257,Zm00001d043781,Zm00001d046370,Zm00001d051615,Zm00001d052906"
GO:0019825	39323	2217	54	12	0.000179755	0.015099388	3.941562672	oxygen binding	"Zm00001d004664,Zm00001d010319,Zm00001d012322,Zm00001d013185,Zm00001d013830,Zm00001d022075,Zm00001d023400,Zm00001d029688,Zm00001d037745,Zm00001d039384,Zm00001d046334,Zm00001d051863"
GO:0009507	39323	2217	3100	131	0.001376592	0.115633725	0.749532644	chloroplast	"Zm00001d000037,Zm00001d000204,Zm00001d001773,Zm00001d003200,Zm00001d003504,Zm00001d003533,Zm00001d003743,Zm00001d004413,Zm00001d005826,Zm00001d006489,Zm00001d006638,Zm00001d006825,Zm00001d007764,Zm00001d007911,Zm00001d009714,Zm00001d009746,Zm00001d010244,Zm00001d010329,Zm00001d010344,Zm00001d010675,Zm00001d011496,Zm00001d011720,Zm00001d011968,Zm00001d012103,Zm00001d012480,Zm00001d012545,Zm00001d013493,Zm00001d013550,Zm00001d013908,Zm00001d014081,Zm00001d015012,Zm00001d015205,Zm00001d015968,Zm00001d016219,Zm00001d017119,Zm00001d017457,Zm00001d017516,Zm00001d018061,Zm00001d018117,Zm00001d018179,Zm00001d019505,Zm00001d019758,Zm00001d020266,Zm00001d020615,Zm00001d020702,Zm00001d020972,Zm00001d021494,Zm00001d021881,Zm00001d021900,Zm00001d022017,Zm00001d022073,Zm00001d022075,Zm00001d023720,Zm00001d026662,Zm00001d027550,Zm00001d027907,Zm00001d027992,Zm00001d028167,Zm00001d028199,Zm00001d028443,Zm00001d028528,Zm00001d028941,Zm00001d029583,Zm00001d029699,Zm00001d029708,Zm00001d029955,Zm00001d030990,Zm00001d032532,Zm00001d033004,Zm00001d033389,Zm00001d033624,Zm00001d034508,Zm00001d034594,Zm00001d034859,Zm00001d034920,Zm00001d035753,Zm00001d035820,Zm00001d036122,Zm00001d036197,Zm00001d036244,Zm00001d036417,Zm00001d037693,Zm00001d037745,Zm00001d037932,Zm00001d038195,Zm00001d038450,Zm00001d038577,Zm00001d039524,Zm00001d040735,Zm00001d041534,Zm00001d041955,Zm00001d042453,Zm00001d043094,Zm00001d043586,Zm00001d043600,Zm00001d043787,Zm00001d043795,Zm00001d043806,Zm00001d043864,Zm00001d044179,Zm00001d044182,Zm00001d044300,Zm00001d044732,Zm00001d045283,Zm00001d045338,Zm00001d045387,Zm00001d045657,Zm00001d046334,Zm00001d046454,Zm00001d046745,Zm00001d046801,Zm00001d047461,Zm00001d048171,Zm00001d048189,Zm00001d048226,Zm00001d049171,Zm00001d049273,Zm00001d049286,Zm00001d049502,Zm00001d049594,Zm00001d050283,Zm00001d050412,Zm00001d050716,Zm00001d050917,Zm00001d051121,Zm00001d051504,Zm00001d051552,Zm00001d051634,Zm00001d051798,Zm00001d052179,Zm00001d053732"
GO:0016020	39323	2217	2167	87	0.00162784	0.136738538	0.712100501	membrane	"Zm00001d000001,Zm00001d000339,Zm00001d002014,Zm00001d002016,Zm00001d002018,Zm00001d002698,Zm00001d003742,Zm00001d003743,Zm00001d003924,Zm00001d004908,Zm00001d005726,Zm00001d006900,Zm00001d007604,Zm00001d007616,Zm00001d007623,Zm00001d007977,Zm00001d008892,Zm00001d010171,Zm00001d010197,Zm00001d010329,Zm00001d011228,Zm00001d011378,Zm00001d011654,Zm00001d011656,Zm00001d011968,Zm00001d012957,Zm00001d014011,Zm00001d014944,Zm00001d015129,Zm00001d017119,Zm00001d017186,Zm00001d017456,Zm00001d018322,Zm00001d018388,Zm00001d018438,Zm00001d018461,Zm00001d018727,Zm00001d018786,Zm00001d021665,Zm00001d022181,Zm00001d022579,Zm00001d023856,Zm00001d024621,Zm00001d028118,Zm00001d028229,Zm00001d028941,Zm00001d031192,Zm00001d031813,Zm00001d032114,Zm00001d032433,Zm00001d032582,Zm00001d032836,Zm00001d032947,Zm00001d032991,Zm00001d033320,Zm00001d034417,Zm00001d034418,Zm00001d035616,Zm00001d035925,Zm00001d035989,Zm00001d036845,Zm00001d037935,Zm00001d038793,Zm00001d038883,Zm00001d038884,Zm00001d040129,Zm00001d042022,Zm00001d042184,Zm00001d042763,Zm00001d043094,Zm00001d043738,Zm00001d043740,Zm00001d043742,Zm00001d043988,Zm00001d044906,Zm00001d045386,Zm00001d045514,Zm00001d048446,Zm00001d048948,Zm00001d048949,Zm00001d048950,Zm00001d049028,Zm00001d049364,Zm00001d050069,Zm00001d050302,Zm00001d051798,Zm00001d053916"
GO:0006259	39323	2217	366	8	0.003519161	0.295609565	0.387694689	DNA metabolic process	"Zm00001d011260,Zm00001d026597,Zm00001d032609,Zm00001d034482,Zm00001d045460,Zm00001d048294,Zm00001d052482,Zm00001d053282"
GO:0006412	39323	2217	1249	46	0.003641455	0.305882246	0.653245375	translation	"Zm00001d001774,Zm00001d003091,Zm00001d003352,Zm00001d003496,Zm00001d005727,Zm00001d005764,Zm00001d005790,Zm00001d006619,Zm00001d007764,Zm00001d008570,Zm00001d010385,Zm00001d010918,Zm00001d012633,Zm00001d012962,Zm00001d015550,Zm00001d016477,Zm00001d016891,Zm00001d017085,Zm00001d017461,Zm00001d017650,Zm00001d017670,Zm00001d017684,Zm00001d018093,Zm00001d018155,Zm00001d018700,Zm00001d019505,Zm00001d020692,Zm00001d021831,Zm00001d021842,Zm00001d025814,Zm00001d025963,Zm00001d029785,Zm00001d034508,Zm00001d034655,Zm00001d034781,Zm00001d035157,Zm00001d035162,Zm00001d035599,Zm00001d035647,Zm00001d036668,Zm00001d037056,Zm00001d041454,Zm00001d049640,Zm00001d050961,Zm00001d052170,Zm00001d052533"
GO:0007275	39323	2217	3020	212	0.004167804	0.350095552	1.245116155	multicellular organism development	"Zm00001d000293,Zm00001d000396,Zm00001d002020,Zm00001d002283,Zm00001d002302,Zm00001d002409,Zm00001d002536,Zm00001d002776,Zm00001d002905,Zm00001d003019,Zm00001d003743,Zm00001d003993,Zm00001d004543,Zm00001d004905,Zm00001d005727,Zm00001d006217,Zm00001d006398,Zm00001d006471,Zm00001d006535,Zm00001d006793,Zm00001d007037,Zm00001d007199,Zm00001d007474,Zm00001d007477,Zm00001d007753,Zm00001d007789,Zm00001d007843,Zm00001d007853,Zm00001d007911,Zm00001d008457,Zm00001d008467,Zm00001d008495,Zm00001d008585,Zm00001d008586,Zm00001d008875,Zm00001d008891,Zm00001d008966,Zm00001d009555,Zm00001d009814,Zm00001d010131,Zm00001d010234,Zm00001d010448,Zm00001d010700,Zm00001d010918,Zm00001d010919,Zm00001d011378,Zm00001d011589,Zm00001d011823,Zm00001d012512,Zm00001d012527,Zm00001d012636,Zm00001d013003,Zm00001d013057,Zm00001d013080,Zm00001d013333,Zm00001d013572,Zm00001d013611,Zm00001d014063,Zm00001d014081,Zm00001d014328,Zm00001d015012,Zm00001d015164,Zm00001d015201,Zm00001d015206,Zm00001d015298,Zm00001d015884,Zm00001d016103,Zm00001d016219,Zm00001d016591,Zm00001d016748,Zm00001d017009,Zm00001d017085,Zm00001d017293,Zm00001d017365,Zm00001d017374,Zm00001d017657,Zm00001d017699,Zm00001d017806,Zm00001d017820,Zm00001d017821,Zm00001d017983,Zm00001d018431,Zm00001d018461,Zm00001d018491,Zm00001d018499,Zm00001d019227,Zm00001d019752,Zm00001d020171,Zm00001d020172,Zm00001d020429,Zm00001d020703,Zm00001d020936,Zm00001d021094,Zm00001d021393,Zm00001d021487,Zm00001d021662,Zm00001d021692,Zm00001d021726,Zm00001d021727,Zm00001d021896,Zm00001d022104,Zm00001d022549,Zm00001d023228,Zm00001d023253,Zm00001d023384,Zm00001d023611,Zm00001d023856,Zm00001d024543,Zm00001d024725,Zm00001d024726,Zm00001d024755,Zm00001d025035,Zm00001d025218,Zm00001d025807,Zm00001d026126,Zm00001d026306,Zm00001d026489,Zm00001d026665,Zm00001d027863,Zm00001d027932,Zm00001d028214,Zm00001d028229,Zm00001d028280,Zm00001d028535,Zm00001d028649,Zm00001d028960,Zm00001d028966,Zm00001d029468,Zm00001d029578,Zm00001d029597,Zm00001d029669,Zm00001d031049,Zm00001d031189,Zm00001d031257,Zm00001d031676,Zm00001d031706,Zm00001d031898,Zm00001d032069,Zm00001d032408,Zm00001d032745,Zm00001d032868,Zm00001d032873,Zm00001d033004,Zm00001d033463,Zm00001d033510,Zm00001d034037,Zm00001d034217,Zm00001d034427,Zm00001d034483,Zm00001d034494,Zm00001d034495,Zm00001d034608,Zm00001d034781,Zm00001d034783,Zm00001d035021,Zm00001d035753,Zm00001d036602,Zm00001d036656,Zm00001d037810,Zm00001d038195,Zm00001d038221,Zm00001d038522,Zm00001d038854,Zm00001d038905,Zm00001d039100,Zm00001d039427,Zm00001d039567,Zm00001d039923,Zm00001d039963,Zm00001d040023,Zm00001d040094,Zm00001d040127,Zm00001d040318,Zm00001d041327,Zm00001d041363,Zm00001d041476,Zm00001d041794,Zm00001d042063,Zm00001d042097,Zm00001d042276,Zm00001d042288,Zm00001d042758,Zm00001d043056,Zm00001d043253,Zm00001d043318,Zm00001d043509,Zm00001d043806,Zm00001d044771,Zm00001d045119,Zm00001d046488,Zm00001d046926,Zm00001d046939,Zm00001d047325,Zm00001d047801,Zm00001d048165,Zm00001d048644,Zm00001d048819,Zm00001d049286,Zm00001d049727,Zm00001d050164,Zm00001d050412,Zm00001d051121,Zm00001d051615,Zm00001d052190,Zm00001d052393,Zm00001d052609,Zm00001d052990,Zm00001d053087,Zm00001d053119,Zm00001d053120,Zm00001d053695,Zm00001d053818"
GO:0019748	39323	2217	186	21	0.004802146	0.403380296	2.002568132	secondary metabolic process	"Zm00001d002351,Zm00001d006261,Zm00001d008756,Zm00001d011425,Zm00001d012712,Zm00001d014748,Zm00001d017294,Zm00001d020401,Zm00001d024843,Zm00001d024850,Zm00001d024852,Zm00001d024853,Zm00001d029350,Zm00001d037619,Zm00001d039053,Zm00001d039615,Zm00001d041082,Zm00001d043411,Zm00001d048061,Zm00001d048690,Zm00001d051896"
GO:0009579	39323	2217	150	1	0.005324836	0.447286248	0.11824688	thylakoid	Zm00001d053732
GO:0005198	39323	2217	176	2	0.006672793	0.56051461	0.201557182	structural molecule activity	"Zm00001d004015,Zm00001d052190"
GO:0005829	39323	2217	3888	177	0.00710696	0.596984638	0.807472909	cytosol	"Zm00001d000396,Zm00001d000403,Zm00001d001769,Zm00001d002475,Zm00001d002540,Zm00001d002696,Zm00001d003524,Zm00001d003745,Zm00001d003830,Zm00001d004804,Zm00001d005459,Zm00001d005690,Zm00001d005813,Zm00001d006551,Zm00001d006896,Zm00001d006944,Zm00001d007037,Zm00001d007687,Zm00001d008357,Zm00001d008587,Zm00001d008875,Zm00001d008892,Zm00001d008901,Zm00001d009084,Zm00001d009146,Zm00001d009226,Zm00001d009555,Zm00001d009572,Zm00001d009708,Zm00001d009908,Zm00001d010171,Zm00001d010197,Zm00001d010543,Zm00001d010675,Zm00001d010700,Zm00001d010743,Zm00001d010870,Zm00001d011396,Zm00001d011451,Zm00001d011648,Zm00001d011649,Zm00001d011968,Zm00001d012103,Zm00001d012173,Zm00001d012378,Zm00001d012957,Zm00001d013109,Zm00001d013245,Zm00001d014944,Zm00001d014945,Zm00001d015513,Zm00001d016730,Zm00001d016783,Zm00001d017119,Zm00001d017186,Zm00001d017365,Zm00001d017601,Zm00001d017650,Zm00001d018220,Zm00001d018277,Zm00001d018342,Zm00001d018799,Zm00001d020614,Zm00001d020726,Zm00001d020780,Zm00001d020807,Zm00001d020951,Zm00001d020973,Zm00001d021726,Zm00001d021948,Zm00001d022179,Zm00001d022458,Zm00001d022579,Zm00001d023838,Zm00001d023918,Zm00001d023922,Zm00001d025005,Zm00001d025057,Zm00001d025166,Zm00001d025333,Zm00001d025548,Zm00001d026018,Zm00001d026681,Zm00001d027461,Zm00001d027907,Zm00001d028012,Zm00001d028620,Zm00001d028630,Zm00001d029582,Zm00001d029708,Zm00001d030760,Zm00001d031203,Zm00001d031204,Zm00001d031581,Zm00001d031682,Zm00001d032408,Zm00001d033234,Zm00001d033316,Zm00001d033320,Zm00001d033966,Zm00001d033980,Zm00001d034072,Zm00001d034152,Zm00001d034372,Zm00001d034675,Zm00001d034829,Zm00001d035599,Zm00001d035616,Zm00001d035652,Zm00001d035865,Zm00001d035925,Zm00001d036370,Zm00001d037056,Zm00001d037181,Zm00001d037191,Zm00001d037689,Zm00001d037693,Zm00001d037916,Zm00001d038151,Zm00001d038326,Zm00001d038447,Zm00001d038998,Zm00001d039407,Zm00001d039427,Zm00001d039439,Zm00001d040129,Zm00001d040263,Zm00001d040697,Zm00001d040735,Zm00001d041430,Zm00001d041920,Zm00001d042099,Zm00001d042146,Zm00001d042184,Zm00001d042453,Zm00001d042536,Zm00001d042738,Zm00001d043253,Zm00001d043272,Zm00001d043365,Zm00001d043600,Zm00001d043795,Zm00001d043895,Zm00001d043935,Zm00001d044100,Zm00001d044179,Zm00001d044918,Zm00001d044921,Zm00001d045206,Zm00001d045565,Zm00001d045657,Zm00001d047020,Zm00001d047349,Zm00001d047618,Zm00001d047640,Zm00001d047679,Zm00001d047698,Zm00001d047812,Zm00001d048060,Zm00001d048199,Zm00001d048616,Zm00001d049127,Zm00001d050412,Zm00001d050716,Zm00001d051502,Zm00001d051634,Zm00001d052205,Zm00001d052322,Zm00001d052482,Zm00001d052725,Zm00001d052779,Zm00001d052813,Zm00001d053702,Zm00001d053732,Zm00001d053916,Zm00001d053995,Zm00001d053997"
GO:0000003	39323	2217	403	21	0.827959001	1	0.924262215	reproduction	"Zm00001d002302,Zm00001d002696,Zm00001d003743,Zm00001d012448,Zm00001d018179,Zm00001d018217,Zm00001d025218,Zm00001d025307,Zm00001d027387,Zm00001d030989,Zm00001d034991,Zm00001d037180,Zm00001d037288,Zm00001d039795,Zm00001d039799,Zm00001d043509,Zm00001d044921,Zm00001d047883,Zm00001d048366,Zm00001d048457,Zm00001d050837"
GO:0003677	39323	2217	3132	144	0.020504819	1	0.815495725	DNA binding	"Zm00001d000179,Zm00001d000339,Zm00001d001907,Zm00001d002364,Zm00001d002393,Zm00001d002744,Zm00001d002782,Zm00001d003249,Zm00001d003496,Zm00001d003884,Zm00001d005727,Zm00001d005970,Zm00001d006016,Zm00001d006106,Zm00001d006330,Zm00001d006463,Zm00001d007037,Zm00001d007911,Zm00001d008176,Zm00001d008800,Zm00001d008808,Zm00001d009187,Zm00001d009647,Zm00001d010175,Zm00001d010201,Zm00001d010271,Zm00001d010730,Zm00001d010759,Zm00001d011571,Zm00001d011589,Zm00001d011843,Zm00001d011969,Zm00001d012015,Zm00001d012527,Zm00001d013003,Zm00001d015201,Zm00001d015265,Zm00001d015339,Zm00001d016120,Zm00001d016260,Zm00001d016635,Zm00001d017084,Zm00001d017284,Zm00001d017462,Zm00001d017477,Zm00001d017480,Zm00001d017592,Zm00001d017616,Zm00001d018017,Zm00001d018117,Zm00001d018158,Zm00001d018191,Zm00001d018288,Zm00001d019305,Zm00001d019734,Zm00001d020926,Zm00001d020951,Zm00001d020973,Zm00001d021285,Zm00001d021591,Zm00001d021952,Zm00001d023522,Zm00001d023535,Zm00001d024324,Zm00001d024543,Zm00001d024726,Zm00001d025141,Zm00001d025281,Zm00001d026096,Zm00001d026184,Zm00001d026563,Zm00001d027530,Zm00001d027873,Zm00001d028017,Zm00001d028930,Zm00001d029067,Zm00001d029940,Zm00001d030004,Zm00001d030148,Zm00001d031423,Zm00001d031682,Zm00001d031725,Zm00001d031796,Zm00001d031878,Zm00001d031898,Zm00001d032240,Zm00001d032453,Zm00001d032836,Zm00001d033791,Zm00001d033848,Zm00001d034642,Zm00001d034920,Zm00001d036450,Zm00001d036638,Zm00001d037165,Zm00001d037274,Zm00001d038216,Zm00001d038221,Zm00001d038320,Zm00001d038338,Zm00001d038667,Zm00001d038810,Zm00001d038873,Zm00001d038994,Zm00001d038998,Zm00001d039103,Zm00001d039250,Zm00001d039858,Zm00001d040318,Zm00001d042267,Zm00001d042288,Zm00001d042593,Zm00001d042717,Zm00001d042758,Zm00001d042892,Zm00001d043094,Zm00001d043247,Zm00001d043549,Zm00001d043706,Zm00001d043902,Zm00001d043904,Zm00001d044950,Zm00001d045262,Zm00001d045361,Zm00001d045386,Zm00001d046999,Zm00001d047676,Zm00001d048208,Zm00001d048294,Zm00001d048457,Zm00001d048486,Zm00001d048510,Zm00001d049364,Zm00001d050382,Zm00001d050790,Zm00001d051117,Zm00001d051451,Zm00001d052102,Zm00001d052152,Zm00001d052732,Zm00001d052779,Zm00001d053415,Zm00001d053859,Zm00001d054032"
GO:0003682	39323	2217	582	41	0.177796146	1	1.249516002	chromatin binding	"Zm00001d000184,Zm00001d002476,Zm00001d002782,Zm00001d003064,Zm00001d006331,Zm00001d008808,Zm00001d009066,Zm00001d010201,Zm00001d011571,Zm00001d014029,Zm00001d015614,Zm00001d017243,Zm00001d017268,Zm00001d017383,Zm00001d018421,Zm00001d020405,Zm00001d024725,Zm00001d024726,Zm00001d025664,Zm00001d025864,Zm00001d028930,Zm00001d030644,Zm00001d032240,Zm00001d032453,Zm00001d036638,Zm00001d038338,Zm00001d038377,Zm00001d038780,Zm00001d038930,Zm00001d040621,Zm00001d042892,Zm00001d043525,Zm00001d043837,Zm00001d043902,Zm00001d047579,Zm00001d047808,Zm00001d048647,Zm00001d050382,Zm00001d051117,Zm00001d051149,Zm00001d051981"
GO:0003774	39323	2217	64	2	0.584989634	1	0.554282251	motor activity	"Zm00001d015796,Zm00001d023348"
GO:0003824	39323	2217	671	32	0.397152827	1	0.845879322	catalytic activity	"Zm00001d002468,Zm00001d003742,Zm00001d003993,Zm00001d009647,Zm00001d011843,Zm00001d013550,Zm00001d013983,Zm00001d016586,Zm00001d017874,Zm00001d021285,Zm00001d022415,Zm00001d025218,Zm00001d025263,Zm00001d028024,Zm00001d028941,Zm00001d031726,Zm00001d032560,Zm00001d033389,Zm00001d035306,Zm00001d038793,Zm00001d039250,Zm00001d039574,Zm00001d042292,Zm00001d042909,Zm00001d045558,Zm00001d046999,Zm00001d047812,Zm00001d048165,Zm00001d050069,Zm00001d050302,Zm00001d052731,Zm00001d053409"
GO:0005102	39323	2217	64	2	0.584989634	1	0.554282251	signaling receptor binding	"Zm00001d015186,Zm00001d038993"
GO:0005215	39323	2217	336	14	0.337324056	1	0.739043001	transporter activity	"Zm00001d000308,Zm00001d011755,Zm00001d012194,Zm00001d013313,Zm00001d015363,Zm00001d021160,Zm00001d023838,Zm00001d025490,Zm00001d034488,Zm00001d034489,Zm00001d040422,Zm00001d043462,Zm00001d052533,Zm00001d053648"
GO:0005488	39323	2217	2923	138	0.048954281	1	0.837396654	binding	"Zm00001d001769,Zm00001d001862,Zm00001d002290,Zm00001d002369,Zm00001d002816,Zm00001d002850,Zm00001d003624,Zm00001d003667,Zm00001d003745,Zm00001d003999,Zm00001d004706,Zm00001d004754,Zm00001d005782,Zm00001d005783,Zm00001d006261,Zm00001d006328,Zm00001d006495,Zm00001d006903,Zm00001d007070,Zm00001d007216,Zm00001d008449,Zm00001d008587,Zm00001d010565,Zm00001d010870,Zm00001d011365,Zm00001d011425,Zm00001d011451,Zm00001d012194,Zm00001d012956,Zm00001d013099,Zm00001d013565,Zm00001d013672,Zm00001d015205,Zm00001d015340,Zm00001d016696,Zm00001d016719,Zm00001d016730,Zm00001d016764,Zm00001d017085,Zm00001d017457,Zm00001d017761,Zm00001d017768,Zm00001d017820,Zm00001d017976,Zm00001d018107,Zm00001d018322,Zm00001d018332,Zm00001d019752,Zm00001d020726,Zm00001d021250,Zm00001d021392,Zm00001d022233,Zm00001d022509,Zm00001d022530,Zm00001d023348,Zm00001d025379,Zm00001d025548,Zm00001d025905,Zm00001d026269,Zm00001d027550,Zm00001d028024,Zm00001d028374,Zm00001d028451,Zm00001d029699,Zm00001d029708,Zm00001d031187,Zm00001d032036,Zm00001d032561,Zm00001d032620,Zm00001d033463,Zm00001d033575,Zm00001d033835,Zm00001d033836,Zm00001d033999,Zm00001d034453,Zm00001d034461,Zm00001d034995,Zm00001d035021,Zm00001d035306,Zm00001d036318,Zm00001d036338,Zm00001d036668,Zm00001d036715,Zm00001d036780,Zm00001d036946,Zm00001d037181,Zm00001d037281,Zm00001d037949,Zm00001d038151,Zm00001d038480,Zm00001d039439,Zm00001d039825,Zm00001d040027,Zm00001d040619,Zm00001d040735,Zm00001d042055,Zm00001d042179,Zm00001d042751,Zm00001d043104,Zm00001d043723,Zm00001d043787,Zm00001d043795,Zm00001d044100,Zm00001d044688,Zm00001d044691,Zm00001d044700,Zm00001d044734,Zm00001d044918,Zm00001d045210,Zm00001d046745,Zm00001d046960,Zm00001d047458,Zm00001d047470,Zm00001d047640,Zm00001d047679,Zm00001d047883,Zm00001d048690,Zm00001d048770,Zm00001d049081,Zm00001d049242,Zm00001d049502,Zm00001d050899,Zm00001d050961,Zm00001d051121,Zm00001d051803,Zm00001d051810,Zm00001d052064,Zm00001d052122,Zm00001d052179,Zm00001d052205,Zm00001d052482,Zm00001d052609,Zm00001d053160,Zm00001d053393,Zm00001d053639,Zm00001d053648,Zm00001d053995,Zm00001d054066"
GO:0005618	39323	2217	1113	60	0.792162351	1	0.956174233	cell wall	"Zm00001d000018,Zm00001d001979,Zm00001d002409,Zm00001d002410,Zm00001d003667,Zm00001d004754,Zm00001d004768,Zm00001d006638,Zm00001d009146,Zm00001d010197,Zm00001d010635,Zm00001d010911,Zm00001d012103,Zm00001d012292,Zm00001d013751,Zm00001d014244,Zm00001d016130,Zm00001d016697,Zm00001d016708,Zm00001d017699,Zm00001d017857,Zm00001d020702,Zm00001d021494,Zm00001d022458,Zm00001d024071,Zm00001d024843,Zm00001d024850,Zm00001d024852,Zm00001d024853,Zm00001d026250,Zm00001d027290,Zm00001d027387,Zm00001d028528,Zm00001d028630,Zm00001d028651,Zm00001d031878,Zm00001d032187,Zm00001d032401,Zm00001d033174,Zm00001d035646,Zm00001d035677,Zm00001d036835,Zm00001d037025,Zm00001d037693,Zm00001d038577,Zm00001d038645,Zm00001d040649,Zm00001d040697,Zm00001d042141,Zm00001d042453,Zm00001d042556,Zm00001d042767,Zm00001d042768,Zm00001d043509,Zm00001d046960,Zm00001d047845,Zm00001d048014,Zm00001d050082,Zm00001d052335,Zm00001d053733"
GO:0005622	39323	2217	828	43	0.647909841	1	0.921126059	intracellular	"Zm00001d002290,Zm00001d003188,Zm00001d003190,Zm00001d004895,Zm00001d005936,Zm00001d005965,Zm00001d006374,Zm00001d010234,Zm00001d011097,Zm00001d011823,Zm00001d013115,Zm00001d013743,Zm00001d013879,Zm00001d015363,Zm00001d017152,Zm00001d017456,Zm00001d018438,Zm00001d020609,Zm00001d020789,Zm00001d021240,Zm00001d021452,Zm00001d022435,Zm00001d023856,Zm00001d031676,Zm00001d034085,Zm00001d034417,Zm00001d034608,Zm00001d038762,Zm00001d038791,Zm00001d043038,Zm00001d043247,Zm00001d043512,Zm00001d044906,Zm00001d045051,Zm00001d047025,Zm00001d047045,Zm00001d047758,Zm00001d048948,Zm00001d048949,Zm00001d049107,Zm00001d050074,Zm00001d053622,Zm00001d053648"
GO:0005623	39323	2217	93	2	0.246526402	1	0.381441549	cell	"Zm00001d039362,Zm00001d052252"
