sample	name
SRR5911721	CML77 Adult leaf (night)
SRR5911467	CML84 Root
SRR5911474	CML84 Shoot
SRR5911603	CML84 Kernel
SRR5911604	CML84 Leaf 3 Base
SRR5911466	CML84 Leaf 3 Tip
SRR5911472	CML84 Adult leaf (day)
SRR5911475	CML84 Adult leaf (night)
SRR5911215	CML85 Root
SRR5911216	CML85 Shoot
SRR5911598	CML85 Kernel
SRR5911223	CML85 Leaf 3 Base
SRR5911217	CML85 Leaf 3 Tip
SRR5911606	CML85 Adult leaf (day)
SRR5911605	CML85 Adult leaf (night)
SRR5912085	CML91 Root
SRR5912084	CML91 Shoot
SRR5911948	CML91 Kernel
SRR5912091	CML91 Leaf 3 Base
SRR5912090	CML91 Leaf 3 Tip
SRR5912082	CML91 Adult leaf (day)
SRR5912083	CML91 Adult leaf (night)
SRR5911949	CML92 Root
SRR5911950	CML92 Shoot
SRR5911954	CML92 Kernel
SRR5911952	CML92 Leaf 3 Base
SRR5911951	CML92 Leaf 3 Tip
SRR5911947	CML92 Adult leaf (night)
SRR5911462	CML96 Root
SRR5911465	CML96 Shoot
SRR5911461	CML96 Kernel
SRR5911463	CML96 Leaf 3 Base
SRR5911460	CML96 Leaf 3 Tip
SRR5911597	CML96 Adult leaf (day)
SRR5911464	CML96 Adult leaf (night)
SRR5911808	CMV3 Root
SRR5911945	CMV3 Shoot
SRR5911806	CMV3 Kernel
SRR5911809	CMV3 Leaf 3 Tip
SRR5911953	CMV3 Adult leaf (day)
SRR5911946	CMV3 Adult leaf (night)
SRR5911810	CO106 Root
SRR5911813	CO106 Shoot
SRR5911805	CO106 Kernel
SRR5911811	CO106 Leaf 3 Base
SRR5911804	CO106 Leaf 3 Tip
SRR5911807	CO106 Adult leaf (day)
SRR5911812	CO106 Adult leaf (night)
SRR5912035	CO125 Root
SRR5912034	CO125 Shoot
SRR5912038	CO125 Kernel
SRR5912040	CO125 Leaf 3 Base
SRR5912041	CO125 Leaf 3 Tip
SRR5912036	CO125 Adult leaf (day)
SRR5912037	CO125 Adult leaf (night)
SRR5911677	CO255 Root
SRR5912033	CO255 Shoot
SRR5911678	CO255 Kernel
SRR5911676	CO255 Leaf 3 Base
SRR5911679	CO255 Leaf 3 Tip
SRR5912039	CO255 Adult leaf (day)
SRR5912032	CO255 Adult leaf (night)
SRR5911896	D940Y Root
SRR5911897	D940Y Shoot
SRR5911985	D940Y Kernel
SRR5911895	D940Y Leaf 3 Base
SRR5911984	D940Y Leaf 3 Tip
SRR5911899	D940Y Adult leaf (day)
SRR5911898	D940Y Adult leaf (night)
SRR5911980	DE1 Root
SRR5911983	DE1 Shoot
SRR5911986	DE1 Kernel
SRR5911981	DE1 Leaf 3 Base
SRR5911978	DE1 L3Mid
SRR5911979	DE1 Leaf 3 Tip
SRR5911982	DE1 Adult leaf (night)
SRR5912109	DE811 Root
SRR5911990	DE811 Shoot
SRR5912102	DE811 Kernel
SRR5912103	DE811 Leaf 3 Base
SRR5912108	DE811 Leaf 3 Tip
SRR5911955	DE811 Adult leaf (day)
SRR5911987	DE811 Adult leaf (night)
SRR5912114	E2558W Root
SRR5912115	E2558W Shoot
SRR5911704	E2558W Kernel
SRR5911703	E2558W Leaf 3 Tip
SRR5912104	E2558W Adult leaf (day)
SRR5912105	E2558W Adult leaf (night)
SRR5911700	EP1 Root
SRR5911699	EP1 Shoot
SRR5911697	EP1 Kernel
SRR5911701	EP1 Leaf 3 Base
SRR5911702	EP1 Leaf 3 Tip
SRR5911705	EP1 Adult leaf (day)
SRR5911706	EP1 Adult leaf (night)
SRR5911858	F2834T Root
SRR5911859	F2834T Shoot
SRR5911862	F2834T Kernel
SRR5911856	F2834T Leaf 3 Base
SRR5911863	F2834T Leaf 3 Tip
SRR5911857	F2834T Adult leaf (day)
SRR5911698	F2834T Adult leaf (night)
SRR5911854	F6 Root
SRR5911855	F6 Shoot
SRR5911648	F6 Kernel
SRR5911650	F6 Leaf 3 Base
SRR5911651	F6 Leaf 3 Tip
SRR5911861	F6 Adult leaf (day)
SRR5911860	F6 Adult leaf (night)
SRR5911652	F7 Root
SRR5911655	F7 Shoot
SRR5911686	F7 Kernel
SRR5911684	F7 Leaf 3 Base
SRR5911658	F7 Leaf 3 Tip
SRR5911649	F7 Adult leaf (day)
SRR5911654	F7 Adult leaf (night)
SRR5911790	GA209 Root
SRR5911791	GA209 Shoot
SRR5911795	GA209 Kernel
SRR5911792	GA209 Leaf 3 Base
SRR5911793	GA209 Leaf 3 Tip
SRR5911789	GA209 Adult leaf (day)
SRR5911788	GA209 Adult leaf (night)
SRR5911888	GT112 Root
SRR5911796	GT112 Shoot
SRR5911885	GT112 Kernel
SRR5911886	GT112 Leaf 3 Base
SRR5911887	GT112 Leaf 3 Tip
SRR5911794	GT112 Adult leaf (day)
SRR5911797	GT112 Adult leaf (night)
SRR5911890	H105W Root
SRR5911891	H105W Shoot
SRR5911893	H105W Kernel
SRR5911889	H105W Leaf 3 Base
SRR5911894	H105W Leaf 3 Tip
SRR5911892	H105W Adult leaf (night)
SRR5911733	H49 Root
SRR5911732	H49 Shoot
SRR5911728	H49 Kernel
SRR5911734	H49 Leaf 3 Base
SRR5911727	H49 Leaf 3 Tip
SRR5911731	H49 Adult leaf (night)
SRR5911735	H84 Root
SRR5911730	H84 Shoot
SRR5911661	H84 Kernel
SRR5911736	H84 Leaf 3 Tip
SRR5911729	H84 Adult leaf (night)
SRR5911657	H91 Root
SRR5911662	H91 Shoot
SRR5911685	H91 Kernel
SRR5911656	H91 Leaf 3 Base
SRR5911659	H91 Leaf 3 Tip
SRR5911663	H91 Adult leaf (day)
SRR5911660	H91 Adult leaf (night)
SRR5912018	H95 Root
SRR5911737	H95 Shoot
SRR5912017	H95 Kernel
SRR5912019	H95 Leaf 3 Base
SRR5912016	H95 Leaf 3 Tip
SRR5911653	H95 Adult leaf (night)
SRR5912013	H99 Root
SRR5912012	H99 Shoot
SRR5911942	H99 Kernel
SRR5912010	H99 Leaf 3 Base
SRR5912011	H99 Leaf 3 Tip
SRR5911864	H99 Adult leaf (day)
SRR5912015	H99 Adult leaf (night)
SRR5912021	Hi27 Root
SRR5911798	Hi27 Root
SRR5912020	Hi27 Shoot
SRR5911803	Hi27 Kernel
SRR5911800	Hi27 Leaf 3 Base
SRR5911802	Hi27 Leaf 3 Base
SRR5911799	Hi27 Leaf 3 Tip
SRR5911801	Hi27 Leaf 3 Tip
SRR5911944	Hi27 Adult leaf (day)
SRR5911943	Hi27 Adult leaf (night)
SRR5911938	HP301 Root
SRR5911939	HP301 Shoot
SRR5911935	HP301 Kernel
SRR5911937	HP301 Leaf 3 Base
SRR5911936	HP301 Leaf 3 Tip
SRR5911940	HP301 Adult leaf (day)
SRR5911941	HP301 Adult leaf (night)
SRR5911707	I137TN Root
SRR5911708	I137TN Shoot
SRR5911711	I137TN Kernel
SRR5911710	I137TN Leaf 3 Base
SRR5911709	I137TN L3Mid
SRR5911712	I137TN Leaf 3 Tip
SRR5912009	I137TN Adult leaf (day)
SRR5912014	I137TN Adult leaf (night)
SRR5911716	I205 Root
SRR5911713	I205 Shoot
SRR5912075	I205 Kernel
SRR5912074	I205 Leaf 3 Base
SRR5911715	I205 Leaf 3 Tip
SRR5911714	I205 Adult leaf (night)
SRR5912079	I29 Root
SRR5912078	I29 Shoot
SRR5912080	I29 Kernel
SRR5912077	I29 Leaf 3 Base
SRR5912076	I29 Leaf 3 Tip
SRR5912072	I29 Adult leaf (day)
SRR5912073	I29 Adult leaf (night)
SRR5911747	IA2132 Root
SRR5911748	IA2132 Shoot
SRR5911752	IA2132 Kernel
SRR5911753	IA2132 Leaf 3 Base
SRR5911746	IA2132 Leaf 3 Tip
SRR5912081	IA2132 Adult leaf (day)
SRR5911749	IA2132 Adult leaf (night)
SRR5911996	Ia5125 Root
SRR5911997	Ia5125 Shoot
SRR5911989	Ia5125 Leaf 3 Base
SRR5911995	Ia5125 Leaf 3 Tip
SRR5911991	Ia5125 Adult leaf (day)
SRR5911998	Ia5125 Adult leaf (night)
SRR5911785	IDS28 Root
SRR5911750	IDS28 Shoot
SRR5911967	IDS28 Kernel
SRR5911740	IDS28 Leaf 3 Base
SRR5911966	IDS28 Leaf 3 Tip
SRR5911751	IDS28 Adult leaf (night)
SRR5912113	IDS69 Root
SRR5912112	IDS69 Shoot
SRR5911871	IDS69 Kernel
SRR5912106	IDS69 Leaf 3 Base
SRR5912110	IDS69 Leaf 3 Base
SRR5912107	IDS69 Leaf 3 Tip
SRR5912111	IDS69 Adult leaf (day)
SRR5912116	IDS69 Adult leaf (night)
SRR5912117	IDS69 Leaf 3 middle
SRR5911874	IDS91 Root
SRR5911873	IDS91 Shoot
SRR5911869	IDS91 Kernel
SRR5911868	IDS91 Leaf 3 Base
SRR5911867	IDS91 Leaf 3 Tip
SRR5911872	IDS91 Adult leaf (night)
SRR5911635	Il101T Root
SRR5911634	Il101T Shoot
SRR5911630	Il101T Kernel
SRR5911632	Il101T Leaf 3 Base
SRR5911633	Il101T Leaf 3 Tip
SRR5911988	Il101T Adult leaf (night)
SRR5911629	Il14H Root
SRR5911631	Il14H Shoot
SRR5911768	Il14H Kernel
SRR5911771	Il14H Kernel
SRR5911769	Il14H Leaf 3 Base
SRR5911637	Il14H Leaf 3 Tip
SRR5911628	Il14H Adult leaf (day)
SRR5911636	Il14H Adult leaf (night)
SRR5911381	Il677a Root
SRR5911380	Il677a Shoot
SRR5911225	Il677a Kernel
SRR5911383	Il677a Leaf 3 Base
SRR5911382	Il677a Leaf 3 Tip
SRR5911214	Il677a Adult leaf (day)
SRR5911212	Il677a Adult leaf (night)
SRR5911865	IllHy Root
SRR5911870	IllHy Shoot
SRR5911866	IllHy Leaf 3 Base
SRR5911994	IllHy Leaf 3 Tip
SRR5911992	IllHy Adult leaf (day)
SRR5911993	IllHy Adult leaf (night)
SRR5911767	K148 Root
SRR5911764	K148 Shoot
SRR5911772	K148 Kernel
SRR5911773	K148 Leaf 3 Base
SRR5911766	K148 Leaf 3 Tip
SRR5911765	K148 Adult leaf (day)
SRR5911770	K148 Adult leaf (night)
SRR5911918	K4 Root
SRR5911917	K4 Shoot
SRR5911921	K4 Kernel
SRR5911919	K4 Leaf 3 Base
SRR5911920	K4 Leaf 3 Tip
SRR5911915	K4 Adult leaf (day)
SRR5911916	K4 Adult leaf (night)
SRR5912058	K55 Root
SRR5912059	K55 Shoot
SRR5912060	K55 Shoot
SRR5912055	K55 Kernel
SRR5912057	K55 Leaf 3 Base
SRR5911924	K55 Leaf 3 Base
SRR5912056	K55 Leaf 3 Tip
SRR5912061	K55 Adult leaf (day)
SRR5911922	K55 Adult leaf (night)
SRR5911923	K55 Leaf 3 middle
SRR5911691	K64 Root
SRR5912052	K64 Shoot
SRR5911690	K64 Kernel
SRR5911692	K64 Leaf 3 Base
SRR5911689	K64 Leaf 3 Tip
SRR5912054	K64 Adult leaf (day)
SRR5912053	K64 Adult leaf (night)
SRR5911973	Ki11 Root
SRR5911972	Ki11 Shoot
SRR5911974	Ki11 Leaf 3 Base
SRR5911975	Ki11 Leaf 3 Tip
SRR5911845	Ki11 Adult leaf (day)
SRR5911844	Ki11 Adult leaf (night)
SRR5911970	Ki14 Root
SRR5911969	Ki14 Shoot
SRR5911968	Ki14 Adult leaf (day)
SRR5911971	Ki14 Adult leaf (night)
SRR5912099	Ki21 Root
SRR5912092	Ki21 Shoot
SRR5912096	Ki21 Kernel
SRR5912097	Ki21 Leaf 3 Base
SRR5912098	Ki21 Leaf 3 Tip
SRR5912094	Ki21 Adult leaf (day)
SRR5912093	Ki21 Adult leaf (night)
SRR5911457	Ki3 Root
SRR5911456	Ki3 Shoot
SRR5911331	Ki3 Kernel
SRR5911517	Ki3 Leaf 3 Base
SRR5911516	Ki3 Leaf 3 Tip
SRR5911458	Ki3 Adult leaf (day)
SRR5911459	Ki3 Adult leaf (night)
SRR5912100	Ki43 Root
SRR5912101	Ki43 Shoot
SRR5911121	Ki43 Kernel
SRR5911120	Ki43 Leaf 3 Base
SRR5911119	Ki43 Leaf 3 Tip
SRR5911113	Ki44 Root
SRR5911118	Ki44 Shoot
SRR5911127	Ki44 Kernel
SRR5910671	Ki44 Leaf 3 Base
SRR5911116	Ki44 Leaf 3 Base
SRR5911126	Ki44 Leaf 3 Tip
SRR5911122	Ki44 Adult leaf (day)
SRR5911117	Ki44 Adult leaf (night)
SRR5911115	Ki44 Leaf 3 middle
SRR5912095	KUI2021 Root
SRR5911976	KUI2021 Shoot
SRR5911977	KUI2021 Shoot
SRR5911131	Ky21 Root
SRR5911130	Ky21 Shoot
SRR5911124	Ky21 Kernel
SRR5911133	Ky21 Leaf 3 Base
SRR5911132	Ky21 Leaf 3 Tip
SRR5911128	Ky21 Adult leaf (day)
SRR5911129	Ky21 Adult leaf (night)
SRR5911694	Ky226 Root
SRR5911693	Ky226 Shoot
SRR5911847	Ky226 Kernel
SRR5911688	Ky226 Leaf 3 Base
SRR5911687	Ky226 Leaf 3 Tip
SRR5911696	Ky226 Adult leaf (day)
SRR5911695	Ky226 Adult leaf (night)
SRR5911851	Ky228 Root
SRR5911848	Ky228 Shoot
SRR5911852	Ky228 Kernel
SRR5911850	Ky228 Leaf 3 Base
SRR5911853	Ky228 Leaf 3 Tip
SRR5911846	Ky228 Adult leaf (day)
SRR5911849	Ky228 Adult leaf (night)
SRR5910776	L317 Root
SRR5910773	L317 Shoot
SRR5910769	L317 Kernel
SRR5910770	L317 Leaf 3 Base
SRR5910775	L317 Leaf 3 Tip
SRR5910774	L317 Adult leaf (day)
SRR5911125	L317 Adult leaf (night)
SRR5910777	L578 Root
SRR5910778	L578 Shoot
SRR5910901	L578 Kernel
SRR5910903	L578 Leaf 3 Base
SRR5910904	L578 Leaf 3 Tip
SRR5910772	L578 Adult leaf (day)
SRR5910771	L578 Adult leaf (night)
SRR5910900	M14 Root
SRR5910899	M14 Shoot
SRR5910906	M14 Kernel
SRR5910897	M14 Leaf 3 Base
SRR5910898	M14 L3Mid
SRR5910905	M14 Leaf 3 Tip
SRR5910902	M14 Adult leaf (night)
SRR5911042	M162W Root
SRR5911047	M162W Kernel
SRR5911041	M162W Leaf 3 Base
SRR5911048	M162W Leaf 3 Tip
SRR5911044	M162W Adult leaf (day)
SRR5911043	M162W Adult leaf (night)
SRR5911049	M37W Root
SRR5911050	M37W Shoot
SRR5910691	M37W Kernel
SRR5910670	M37W Leaf 3 Base
SRR5910871	M37W L3Mid
SRR5910673	M37W Leaf 3 Tip
SRR5911046	M37W Adult leaf (day)
SRR5911045	M37W Adult leaf (night)
SRR5911091	MEF156-55-2 Root
SRR5911090	MEF156-55-2 Shoot
SRR5910984	MEF156-55-2 Kernel
SRR5911114	MEF156-55-2 Leaf 3 Base
SRR5911110	MEF156-55-2 Leaf 3 Tip
SRR5911088	MEF156-55-2 Adult leaf (day)
SRR5911089	MEF156-55-2 Adult leaf (night)
SRR5911106	Mo17 Root
SRR5911107	Mo17 Shoot
SRR5911112	Mo17 Kernel
SRR5911105	Mo17 Leaf 3 Base
SRR5911104	Mo17 L3Mid
SRR5911103	Mo17 Leaf 3 Tip
SRR5911108	Mo17 Adult leaf (night)
SRR5910751	Mo18W Root
SRR5910750	Mo18W Shoot
SRR5910754	Mo18W Kernel
SRR5910752	Mo18W Leaf 3 Base
SRR5910753	Mo18W Leaf 3 Tip
SRR5911111	Mo18W Adult leaf (day)
SRR5910749	Mo18W Adult leaf (night)
SRR5911017	Mo1W Root
SRR5910987	Mo1W Shoot
SRR5910947	Mo1W Kernel
SRR5910950	Mo1W Leaf 3 Base
SRR5911015	Mo1W Leaf 3 Tip
SRR5910930	Mo1W Adult leaf (day)
SRR5910973	Mo1W Adult leaf (night)
SRR5910755	Mo24W Leaf 3 Base
SRR5910756	Mo24W Leaf 3 Tip
SRR5910960	Mo44 Root
SRR5910758	Mo44 Shoot
SRR5910957	Mo44 Kernel
SRR5910958	Mo44 Leaf 3 Base
SRR5910959	Mo44 Leaf 3 Tip
SRR5910757	Mo44 Adult leaf (night)
SRR5910953	Mo45 Root
SRR5910954	Mo45 Shoot
SRR5910816	Mo45 Kernel
SRR5910952	Mo45 Leaf 3 Base
SRR5910951	Mo45 Leaf 3 Tip
SRR5910955	Mo45 Adult leaf (day)
SRR5910956	Mo45 Adult leaf (night)
SRR5910819	Mo46 Root
SRR5910923	Mo46 Shoot
SRR5910820	Mo46 Leaf 3 Base
SRR5910821	Mo46 Leaf 3 Tip
SRR5910817	Mo46 Adult leaf (night)
SRR5910825	Mo47 Root
SRR5910824	Mo47 Shoot
SRR5910744	Mo47 Kernel
SRR5910741	Mo47 Leaf 3 Base
SRR5910742	Mo47 Leaf 3 Tip
SRR5910823	Mo47 Adult leaf (day)
SRR5910822	Mo47 Adult leaf (night)
SRR5910746	MoG Root
SRR5910743	MoG Shoot
SRR5910747	MoG Kernel
SRR5910745	MoG Leaf 3 Base
SRR5910748	MoG Leaf 3 Tip
SRR5911098	Mp339 Root
SRR5911097	Mp339 Shoot
SRR5911101	Mp339 Kernel
SRR5911095	Mp339 Leaf 3 Base
SRR5911096	Mp339 Leaf 3 Tip
SRR5910740	Mp339 Adult leaf (day)
SRR5910739	Mp339 Adult leaf (night)
SRR5911196	MR01 Root
SRR5911586	MR02 Root
SRR5911455	MR02 Shoot
SRR5911321	MR06 Root
SRR5911319	MR08 Root
SRR5911320	MR08 Shoot
SRR5911322	MR09 Root
SRR5911323	MR09 Shoot
SRR5911324	MR10 Root
SRR5911325	MR10 Shoot
SRR5911210	MR11 Root
SRR5911209	MR11 Shoot
SRR5911588	MR12 Root
SRR5911585	MR12 Shoot
SRR5911195	MR18 Root
SRR5911589	MR19 Root
SRR5911594	MR19 Kernel
SRR5911591	MR19 Leaf 3 Base
SRR5911592	MR19 Leaf 3 Tip
SRR5911587	MR19 Adult leaf (day)
SRR5911590	MR19 Adult leaf (night)
SRR5911205	MR20 Root
SRR5911206	MR20 Leaf 3 Base
SRR5911207	MR20 Leaf 3 Tip
SRR5911593	MR20 Adult leaf (night)
SRR5911204	MR20 Shoot
SRR5911208	MR20 Kernel
SRR5911203	MR20 Adult leaf (day)
SRR5911318	MR21 Root
SRR5910966	MS1334 Root
SRR5910965	MS1334 Shoot
SRR5910969	MS1334 Kernel
SRR5910963	MS1334 Leaf 3 Base
SRR5910964	MS1334 Leaf 3 Tip
SRR5910925	MS1334 Adult leaf (day)
SRR5910883	MS1334 Adult leaf (night)
SRR5910961	MS153 Root
SRR5910968	MS153 Shoot
SRR5911109	MS153 Kernel
SRR5910962	MS153 Leaf 3 Base
SRR5911123	MS153 Leaf 3 Tip
SRR5910967	MS153 Adult leaf (day)
SRR5910970	MS153 Adult leaf (night)
SRR5911335	MS71 Root
SRR5911336	Ms71 Shoot
SRR5911221	MS71 Kernel
SRR5911530	MS71 Kernel
SRR5911334	Ms71 Leaf 3 Base
SRR5911531	Ms71 Leaf 3 Tip
SRR5911330	MS71 Adult leaf (day)
SRR5911337	MS71 Adult leaf (night)
SRR5911100	Mt42 Root
SRR5911102	Mt42 Shoot
SRR5910891	Mt42 Kernel
SRR5911094	Mt42 Leaf 3 Base
SRR5910892	Mt42 Leaf 3 Tip
SRR5911099	Mt42 Adult leaf (day)
SRR5911093	Mt42 Adult leaf (night)
SRR5910893	N192 Root
SRR5910894	N192 Shoot
SRR5910765	N192 Kernel
SRR5910896	N192 Leaf 3 Base
SRR5910888	N192 Leaf 3 Base
SRR5910887	N192 Leaf 3 Tip
SRR5910890	N192 Adult leaf (day)
SRR5910895	N192 Adult leaf (night)
SRR5910889	N192 Leaf 3 middle
SRR5910761	N28Ht Root
SRR5910768	N28Ht Shoot
SRR5910764	N28Ht Kernel
SRR5910763	N28Ht Leaf 3 Base
SRR5910762	N28Ht Leaf 3 Tip
SRR5910767	N28Ht Adult leaf (day)
SRR5910766	N28Ht Adult leaf (night)
SRR5911224	N6 Root
SRR5911211	N6 Shoot
SRR5911193	N6 Leaf 3 Base
SRR5911218	N6 Leaf 3 Tip
SRR5911222	N6 Adult leaf (night)
SRR5910678	NC222 Root
SRR5911087	NC222 Shoot
SRR5910674	NC222 Kernel
SRR5910681	NC222 Leaf 3 Base
SRR5910680	NC222 L3Mid
SRR5910675	NC222 Leaf 3 Tip
SRR5910759	NC222 Adult leaf (day)
SRR5910760	NC222 Adult leaf (night)
SRR5911092	NC230 Root
SRR5910672	NC230 Shoot
SRR5911034	NC230 Kernel
SRR5911036	NC230 Leaf 3 Base
SRR5911037	NC230 Leaf 3 Tip
SRR5910677	NC230 Adult leaf (day)
SRR5910676	NC230 Adult leaf (night)
SRR5911030	NC232 Root
SRR5911033	NC232 Shoot
SRR5911040	NC232 Kernel
SRR5911039	NC232 Leaf 3 Base
SRR5911031	NC232 Leaf 3 Tip
SRR5911035	NC232 Adult leaf (day)
SRR5911032	NC232 Adult leaf (night)
SRR5911074	NC236 Root
SRR5911075	NC236 Shoot
SRR5911071	NC236 Kernel
SRR5911072	NC236 Leaf 3 Base
SRR5911073	NC236 Leaf 3 Tip
SRR5910972	NC236 Adult leaf (day)
SRR5910971	NC236 Adult leaf (night)
SRR5910931	NC238 Root
SRR5911084	NC238 Shoot
SRR5910934	NC238 Kernel
SRR5910933	NC238 Leaf 3 Base
SRR5910932	NC238 Leaf 3 Tip
SRR5911070	NC238 Adult leaf (day)
SRR5910986	NC238 Adult leaf (night)
SRR5910938	NC250 Root
SRR5910937	NC250 Shoot
SRR5910812	NC250 Kernel
SRR5910811	NC250 Kernel
SRR5910810	NC250 Leaf 3 Base
SRR5910929	NC250 Leaf 3 Base
SRR5910809	NC250 Leaf 3 Tip
SRR5910928	NC250 Leaf 3 Tip
SRR5910936	NC250 Adult leaf (day)
SRR5910935	NC250 Adult leaf (night)
SRR5910808	NC258 Root
SRR5910807	NC258 Shoot
SRR5910942	NC258 Kernel
SRR5910814	NC258 Leaf 3 Base
SRR5910813	NC258 Leaf 3 Tip
SRR5910805	NC258 Adult leaf (day)
SRR5910806	NC258 Adult leaf (night)
SRR5910939	NC260 Root
SRR5910940	NC260 Shoot
SRR5910944	NC260 Kernel
SRR5910946	NC260 Leaf 3 Base
SRR5910945	NC260 Leaf 3 Tip
SRR5910941	NC260 Adult leaf (night)
SRR5910985	NC262 Root
SRR5910948	NC262 Shoot
SRR5911083	NC262 Kernel
SRR5911082	NC262 Leaf 3 Base
SRR5911085	NC262 Leaf 3 Tip
SRR5910949	NC262 Adult leaf (day)
SRR5910943	NC262 Adult leaf (night)
SRR5911079	NC264 Root
SRR5911078	NC264 Shoot
SRR5911077	NC264 Kernel
SRR5911076	NC264 Leaf 3 Tip
SRR5911081	NC264 Adult leaf (day)
SRR5911080	NC264 Adult leaf (night)
SRR5910725	NC290A Root
SRR5910726	NC290A Shoot
SRR5910722	NC290A Kernel
SRR5910719	NC290A Leaf 3 Base
SRR5910720	NC290A Leaf 3 Tip
SRR5910723	NC290A Adult leaf (day)
SRR5910724	NC290A Adult leaf (night)
SRR5910847	NC294 Root
SRR5910717	NC294 Shoot
SRR5910850	NC294 Kernel
SRR5910849	NC294 Leaf 3 Base
SRR5910848	NC294 Leaf 3 Tip
SRR5910718	NC294 Adult leaf (day)
SRR5910721	NC294 Adult leaf (night)
SRR5910853	NC296 Root
SRR5910852	NC296 Shoot
SRR5911016	NC296 Kernel
SRR5910844	NC296 Leaf 3 Base
SRR5910845	NC296 Leaf 3 Tip
SRR5910851	NC296 Adult leaf (day)
SRR5910854	NC296 Adult leaf (night)
SRR5910991	NC296A Root
SRR5910992	NC296A Shoot
SRR5910988	NC296A Kernel
SRR5910990	NC296A Leaf 3 Base
SRR5910989	NC296A Leaf 3 Tip
SRR5911014	NC296A Adult leaf (day)
SRR5910993	NC296A Adult leaf (night)
SRR5911018	NC298 Leaf 3 Base
SRR5911019	NC298 Leaf 3 Tip
SRR5911144	NC300 Root
SRR5911147	NC300 Shoot
SRR5910842	NC300 Kernel
SRR5911151	NC300 Leaf 3 Base
SRR5911150	NC300 Leaf 3 Tip
SRR5911146	NC300 Adult leaf (day)
SRR5911145	NC300 Adult leaf (night)
SRR5910780	NC302 Root
SRR5910846	NC302 Shoot
SRR5910784	NC302 Kernel
SRR5910693	NC302 Leaf 3 Base
SRR5910782	NC302 L3Mid
SRR5910781	NC302 Leaf 3 Tip
SRR5910843	NC302 Adult leaf (day)
SRR5910815	NC302 Adult leaf (night)
SRR5910699	NC304 Root
SRR5910785	NC304 Shoot
SRR5910687	NC304 Kernel
SRR5910698	NC304 Leaf 3 Base
SRR5910686	NC304 Leaf 3 Tip
SRR5910783	NC304 Adult leaf (day)
SRR5910786	NC304 Adult leaf (night)
SRR5910683	NC306 Root
SRR5910682	NC306 Shoot
SRR5911086	NC306 Kernel
SRR5910684	NC306 Leaf 3 Base
SRR5910685	NC306 Leaf 3 Tip
SRR5910689	NC306 Adult leaf (day)
SRR5910688	NC306 Adult leaf (night)
SRR5910826	NC310 Root
SRR5910827	NC310 Shoot
SRR5910831	NC310 Kernel
SRR5910926	NC310 Leaf 3 Base
SRR5910927	NC310 Leaf 3 Tip
SRR5910679	NC310 Adult leaf (night)
SRR5910924	NC314 Root
SRR5910828	NC314 Shoot
SRR5910656	NC314 Kernel
SRR5910818	NC314 Leaf 3 Base
SRR5910657	NC314 Leaf 3 Tip
SRR5910829	NC314 Adult leaf (day)
SRR5910830	NC314 Adult leaf (night)
SRR5910652	NC318 Root
SRR5910653	NC318 Shoot
SRR5911149	NC318 Kernel
SRR5910655	NC318 Leaf 3 Base
SRR5910654	NC318 Leaf 3 Tip
SRR5910659	NC318 Adult leaf (day)
SRR5910658	NC318 Adult leaf (night)
SRR5911000	NC320 Root
SRR5911003	NC320 Shoot
SRR5910999	NC320 Kernel
SRR5910998	NC320 Leaf 3 Base
SRR5911001	NC320 Leaf 3 Tip
SRR5911148	NC320 Adult leaf (day)
SRR5911002	NC320 Adult leaf (night)
SRR5910995	NC324 Root
SRR5910994	NC324 Shoot
SRR5910856	NC324 Kernel
SRR5910858	NC324 Leaf 3 Base
SRR5910857	NC324 Leaf 3 Tip
SRR5910997	NC324 Adult leaf (day)
SRR5910996	NC324 Adult leaf (night)
SRR5910860	NC326 Root
SRR5910861	NC326 Shoot
SRR5910865	NC326 Kernel
SRR5910859	NC326 Leaf 3 Base
SRR5910866	NC326 Leaf 3 Tip
SRR5910862	NC326 Adult leaf (day)
SRR5910855	NC326 Adult leaf (night)
SRR5910734	NC328 Root
SRR5910733	NC328 Shoot
SRR5910729	NC328 Kernel
SRR5910727	NC328 Leaf 3 Base
SRR5910728	NC328 Leaf 3 Tip
SRR5910732	NC328 Adult leaf (day)
SRR5910731	NC328 Adult leaf (night)
SRR5910701	NC33 Root
SRR5910736	NC33 Shoot
SRR5910702	NC33 Kernel
SRR5910700	NC33 Leaf 3 Base
SRR5910703	NC33 Leaf 3 Tip
SRR5910730	NC33 Adult leaf (day)
SRR5910735	NC33 Adult leaf (night)
SRR5910706	NC336 Root
SRR5910707	NC336 Shoot
SRR5911056	NC336 Kernel
SRR5910709	NC336 Leaf 3 Base
SRR5910708	NC336 Leaf 3 Tip
SRR5910705	NC336 Adult leaf (day)
SRR5910704	NC336 Adult leaf (night)
SRR5911060	NC338 Root
SRR5911055	NC338 Shoot
SRR5911059	NC338 Kernel
SRR5911061	NC338 Leaf 3 Base
SRR5911058	NC338 Leaf 3 Tip
SRR5911057	NC338 Adult leaf (day)
SRR5911054	NC338 Adult leaf (night)
SRR5910913	NC340 Root
SRR5910914	NC340 Shoot
SRR5910910	NC340 Kernel
SRR5910912	NC340 Leaf 3 Base
SRR5910911	NC340 Leaf 3 Tip
SRR5911065	NC340 Adult leaf (day)
SRR5911064	NC340 Adult leaf (night)
